Name, Parts id, Number, Note
Diode, 1N4148W, 19, Availaable from [here](https://akizukidenshi.com/catalog/g/gI-07084/)
ProMicro, -, 1, Available from [here](https://talpkeyboard.stores.jp/items/5b24504ba6e6ee7ec60063e3)
TRRS jack, PRT-12639, 1, Available from [here](https://www.sengoku.co.jp/mod/sgk_cart/detail.php?code=EEHD-4VML)
TRRS cable, -, 1,
Reset Switch, TVAF06-A020B-R, 1, Available from [here](https://akizukidenshi.com/catalog/g/gP-14888/)
LED, WS2812B, 1, Available from [here](https://akizukidenshi.com/catalog/g/gI-07915/)
Socket (MX), CPG151101S11, 19, [here](https://kbdfans.com/collections/switches/products/mechanical-keyboard-switches-kailh-pcb-socket)
Spacer (M2 4mm), ARB-2004E, 6, [here](https://www.hirosugi-net.co.jp/shop/g/g2386/)
Spacer (M2 7mm), ARB-2007E, 6, [here](https://www.hirosugi-net.co.jp/shop/g/g2392/)
Spacer (M2 12mm), ARB-2012E, 4, [here](https://www.hirosugi-net.co.jp/shop/g/g2400/)
Thread (M2 3mm), -, 20, [here for example..](https://www.amazon.co.jp/dp/B083DR1YQL/ref=cm_sw_em_r_mt_dp_sWb6FbA93WCSS)
Socket (ChocV1), CPG135001S30, 19,[here](https://kbdfans.com/collections/switches/products/mechanical-keyboard-low-profile-switches-kailh-pcb-socket-cpg135001s30)
