Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.6865,-60.452,180.0,top
C2,22p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.6865,-68.453,0.0,top
C3,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,169.418,-58.1025,180.0,top
C4,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,164.338,-58.3565,180.0,top
C5,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.6865,-71.4375,180.0,top
C6,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,163.576,-60.452,180.0,top
F1,Polyfuse_Small,RESC1206X70N,156.845,-48.7045,90.0,top
J1,USB_B_Micro,HRS_ZX62R-B-5P,160.528,-42.9195,180.0,top
R1,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,161.163,-48.26,90.0,top
R2,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,159.131,-48.26,90.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.99,-58.293,0.0,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.4335,-75.184,180.0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.719,-48.26,-90.0,top
Y1,Crystal_GND24_Small,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm_HandSoldering,157.5435,-64.3255,180.0,top
